Family,Sub-family,Address,Barcode,Base Unit,Branch,Brand,City,Client Category 1,Client Category 2,Client Category 3,Client Code,Client ID,Client Name,Cost Center,Cur,Date,Invoice,Product Code,Product Description,Product Name,Project,Unit,Year,Amount,Amount  LBP,Amount  USD,Gross Amount,Gross Amount  LBP,Gross Amount  USD,Net Amount,Net Amount  LBP,Net Amount  USD,Net Quantity,Net Selling,Quantity
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,6/9/2024,SA/2024/892,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,1776000,1776000,19.83792,1776000,1776000,19.83792,1776000,0,41.81,1,1776000,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,30/11/2023,SA/2023/638,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,3330,297036000,3330,3330,297036000,3330,3330,0,43.71,2,3264.22,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,11/9/2024,SA/2024/915,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,16.89,1,45,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17890000,200,200,17890000,200,200,0,22.04,1,14.87,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,15/11/2024,SA/2024/1234,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,22102000,22102000,246.87934,22102000,22102000,246.87934,22102000,0,30.64,4,22102000,4
AIR FREIGHT,IMPORT,Lebanon,,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-012747,339,MAGIC GLAM INTERNATIONAL S.A.R.L,OPERATION ACTIVITIES,USD,12/9/2023,SA/2023/131,AF-IMP-DO-VAT,,DELIVERY ORDER FOR IMP CARGO (VAT),Shipment,Pcs,2019,60,5358000,60,60,5358000,60,66.6,564300,32.85,1,60,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/617,SF-EXP-CF,,EXPORT FORMALITIES SF CARGO,Shipment,Pcs,2019,350,31307500,350,350,31307500,350,350,0,34.8,1,350,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-LD-OFF,,LOADING/OFFLOADING,Shipment,Pcs,2019,57,5101500,57,57,5101500,57,57,0,39.54,1,57,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-COO,,CERTIFICATE OF ORIGIN FEE,Shipment,Pcs,2019,50,4472500,50,50,4472500,50,50,0,22.27,1,50,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CCF-DES,,CUSTOMS CLEARANCE FORMALITIES AT ,Shipment,Pcs,2019,150,13417500,150,150,13417500,150,150,0,13.86,1,150,1
